,State,Downs,FGMade,FGMiss,FUM,INT,PUNT,SAF,TD,Frequency,E[Plays Remaining],Markov EP,Recursive EP,Regressive EP,Down,DTG,Ydline
400,22.0,2-9-26,0.0412,0.3857,0.1046,0.0309,0.0554,0.0436,0.0,0.3386,357.0,4.15,3.52,3.13,3.01,2.0,9.0
401,26.0,2-9-30,0.0559,0.3183,0.0953,0.0503,0.0594,0.0965,0.0,0.3243,339.0,4.39,3.22,2.73,2.76,2.0,9.0
402,30.0,2-9-34,0.0566,0.2674,0.076,0.0456,0.0647,0.1858,0.0,0.3038,435.0,4.65,2.92,2.36,2.52,2.0,9.0
403,34.0,2-9-38,0.0588,0.2184,0.0525,0.045,0.0651,0.2647,0.0,0.2952,409.0,4.93,2.72,2.1,2.27,2.0,9.0
404,38.0,2-9-42,0.0501,0.1881,0.0434,0.0452,0.0758,0.3265,0.0,0.2709,427.0,5.06,2.46,1.78,2.02,2.0,9.0
405,42.0,2-9-46,0.0433,0.1564,0.0357,0.0499,0.0688,0.4188,0.0,0.2271,498.0,5.12,2.05,1.31,1.78,2.0,9.0
406,46.0,,,,2-9-50,0.0396,0.153,0.0344,0.0587,0.0807,0.4123,0.0,0.2212,504.0,5.24,2.0,1.23
407,1.53,2.0,9.0,50.0,2-9-54,0.0368,0.1404,0.0311,0.0541,0.0706,0.4575,0.0,0.2093,502.0,5.38,1.88,1.1
408,1.28,2.0,9.0,54.0,2-9-58,0.0333,0.1249,0.0276,0.0486,0.0783,0.4947,0.0001,0.1925,554.0,5.45,1.72,0.91
409,1.04,2.0,9.0,58.0,2-9-6,0.0327,0.4163,0.0301,0.0252,0.0389,0.0022,0.0,0.4545,459.0,2.56,4.42,4.22
410,4.14,2.0,9.0,6.0,2-9-62,0.0311,0.1169,0.0259,0.0578,0.0716,0.5181,0.0002,0.1785,621.0,5.58,1.6,0.76
411,0.79,2.0,9.0,62.0,2-9-66,0.0286,0.1043,0.0233,0.0577,0.079,0.5451,0.0002,0.1619,664.0,5.63,1.44,0.57
412,0.55,2.0,9.0,66.0,2-9-70,0.0247,0.0958,0.0212,0.0614,0.0806,0.5635,0.0002,0.1526,535.0,5.69,1.35,0.46
413,0.3,2.0,9.0,70.0,2-9-74,0.0229,0.0861,0.0191,0.0518,0.0759,0.6059,0.0002,0.138,497.0,5.79,1.22,0.32
414,0.05,2.0,9.0,74.0,2-9-78,0.022,0.0825,0.0181,0.0514,0.0854,0.6014,0.0005,0.1386,822.0,5.8,1.21,0.3
415,-0.19,2.0,9.0,78.0,2-9-82,0.0198,0.0715,0.0158,0.0587,0.0823,0.6301,0.0033,0.1185,310.0,5.74,1.04,0.09
416,-0.44,2.0,9.0,82.0,2-9-86,0.0183,0.0682,0.0149,0.0571,0.0787,0.6343,0.0092,0.1193,260.0,5.99,1.02,0.08
417,-0.69,2.0,9.0,86.0,2-9-90,0.0144,0.0581,0.0128,0.0664,0.0691,0.6493,0.0244,0.1056,184.0,5.73,0.86,-0.08
418,-0.93,2.0,9.0,90.0,2-9-94,0.014,0.0524,0.0116,0.0633,0.0834,0.6502,0.0325,0.0925,207.0,5.69,0.74,-0.23
419,-1.18,2.0,9.0,94.0,3-1-1,0.0841,0.2045,0.0056,0.0244,0.0175,0.0004,0.0,0.6636,929.0,1.57,5.25,5.06
420,4.52,3.0,1.0,1.0,3-1-10,0.0417,0.3537,0.033,0.0358,0.0303,0.0018,0.0,0.5037,247.0,3.48,4.58,4.35
421,3.76,3.0,1.0,10.0,3-1-14,0.0448,0.3705,0.0524,0.0258,0.0402,0.0031,0.0,0.4631,281.0,3.91,4.34,4.09
422,3.52,3.0,1.0,14.0,3-1-18,0.0554,0.3585,0.0718,0.0406,0.0335,0.0075,0.0,0.4327,290.0,4.04,4.1,3.79
423,3.27,3.0,1.0,18.0,3-1-2,0.0537,0.2733,0.0089,0.0301,0.0182,0.0003,0.0,0.6155,268.0,2.48,5.12,4.95
424,4.49,3.0,1.0,2.0,3-1-22,0.0681,0.3591,0.0889,0.048,0.0408,0.0157,0.0,0.3793,327.0,4.37,3.73,3.35
425,3.03,3.0,1.0,22.0,3-1-26,0.0876,0.3199,0.0864,0.0403,0.0545,0.0415,0.0,0.3698,309.0,4.63,3.54,3.11
426,2.78,3.0,1.0,26.0,3-1-30,0.1073,0.2808,0.0729,0.0548,0.0522,0.0737,0.0,0.3581,331.0,4.97,3.34,2.84
427,2.53,3.0,1.0,30.0,3-1-34,0.0877,0.2528,0.0593,0.0524,0.0643,0.1359,0.0,0.3475,398.0,5.43,3.18,2.64
428,2.29,3.0,1.0,34.0,3-1-38,0.0805,0.2196,0.0523,0.0524,0.0617,0.2257,0.0,0.3078,380.0,5.52,2.81,2.2
429,2.04,3.0,1.0,38.0,3-1-42,0.0707,0.1952,0.0442,0.0545,0.0627,0.2831,0.0,0.2894,452.0,5.47,2.61,1.96
430,1.79,3.0,1.0,42.0,3-1-46,0.0568,0.1705,0.0378,0.0537,0.0594,0.3745,0.0,0.2472,485.0,5.55,2.24,1.53
431,1.55,3.0,1.0,46.0,3-1-50,0.0549,0.1596,0.0359,0.0419,0.0649,0.4128,0.0,0.2301,542.0,5.73,2.08,1.36
432,1.3,3.0,1.0,50.0,3-1-54,0.0434,0.1418,0.0315,0.0533,0.0648,0.4509,0.0001,0.2143,604.0,5.72,1.92,1.15
433,1.06,3.0,1.0,54.0,3-1-58,0.0407,0.1209,0.0269,0.0491,0.068,0.5067,0.0001,0.1875,659.0,5.61,1.67,0.86
434,0.81,3.0,1.0,58.0,3-1-6,0.0535,0.3445,0.0223,0.0204,0.0218,0.0008,0.0,0.5368,269.0,3.17,4.78,4.61
435,4.39,3.0,1.0,6.0,3-1-62,0.0344,0.1188,0.0265,0.0535,0.0644,0.5138,0.0002,0.1884,557.0,6.0,1.67,0.86
436,0.56,3.0,1.0,62.0,3-1-66,0.0337,0.1066,0.0236,0.0543,0.0691,0.5425,0.0001,0.17,463.0,5.86,1.51,0.66
437,0.32,3.0,1.0,66.0,3-1-70,0.0263,0.0997,0.0221,0.063,0.0645,0.5613,0.0001,0.1629,746.0,5.99,1.44,0.57
438,0.07,3.0,1.0,70.0,3-1-74,0.0266,0.0897,0.0197,0.0535,0.0702,0.5939,0.0002,0.1463,272.0,6.05,1.29,0.4
439,-0.18,3.0,1.0,74.0,3-1-78,0.0216,0.0881,0.0194,0.0504,0.0734,0.6028,0.0005,0.1438,223.0,6.23,1.27,0.38
440,-0.42,3.0,1.0,78.0,3-1-82,0.02,0.0821,0.0182,0.0744,0.0782,0.5945,0.0009,0.1317,118.0,6.51,1.16,0.23
441,-0.67,3.0,1.0,82.0,3-1-86,0.0193,0.0718,0.0159,0.0478,0.0794,0.6455,0.0023,0.118,80.0,6.19,1.03,0.1
442,-0.91,3.0,1.0,86.0,3-10-10,0.0571,0.603,0.0821,0.0172,0.0357,0.002,0.0,0.203,226.0,2.06,3.23,2.95
443,3.16,3.0,10.0,10.0,3-10-14,0.0526,0.5513,0.0738,0.0246,0.0604,0.0021,0.0,0.2353,208.0,2.26,3.3,2.97
444,2.92,3.0,10.0,14.0,3-10-18,0.0454,0.5067,0.1242,0.0137,0.0507,0.0064,0.0,0.253,238.0,2.41,3.29,2.95
445,2.67,3.0,10.0,18.0,3-10-22,0.0452,0.486,0.16,0.0175,0.022,0.032,0.0,0.2372,244.0,2.72,3.11,2.76
